Microsoft Windows [Version 10.0.28000.1836]
(c) Корпорация Майкрософт (Microsoft Corporation). Все права защищены.

C:\Windows\System32>cd C:\Users\win11rcv\Desktop\multicast

C:\Users\win11rcv\Desktop\multicast>python tcp_adapter.py --bench-host 192.168.56.102 --retry
13:45:54.101  tcp_adapter запущен  [threading mode]
13:45:54.102    стенд:  192.168.56.102:55200  (TCP данные)
13:45:54.102    вывод:  data_tcp.bin
13:45:54.103    sync:   192.168.56.102:55100  (UDP метки)
13:45:54.103  Sync-генератор: 2000 Гц → 192.168.56.102:55100
13:45:54.111  TCP: подключение к 192.168.56.102:55200...
13:45:54.126  Работаем. Ctrl+C для остановки.
13:45:54.128  TCP: подключено к 192.168.56.102:55200
14:07:42.948  Rate: 1999 pkt/s | Total: 2617332 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:47.950  Rate: 2003 pkt/s | Total: 2627334 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:52.953  Rate: 2000 pkt/s | Total: 2637341 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:57.962  Rate: 2003 pkt/s | Total: 2647361 | Loss: 366 | CRC err: 0 | Sync: 99.5%
14:08:02.966  Rate: 2002 pkt/s | Total: 2657368 | Loss: 366 | CRC err: 0 | Sync: 99.5%
14:08:07.978  Rate: 2005 pkt/s | Total: 2667391 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:12.980  Rate: 2000 pkt/s | Total: 2677398 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:17.998  Rate: 2002 pkt/s | Total: 2687432 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:23.001  Rate: 2000 pkt/s | Total: 2697438 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:28.006  Rate: 2001 pkt/s | Total: 2707448 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:33.008  Rate: 1999 pkt/s | Total: 2717447 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:38.011  Rate: 2000 pkt/s | Total: 2727454 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:43.013  Rate: 2000 pkt/s | Total: 2737458 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:48.020  Rate: 2002 pkt/s | Total: 2747474 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:53.021  Rate: 2001 pkt/s | Total: 2757473 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:08:58.025  Rate: 2002 pkt/s | Total: 2767485 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:03.033  Rate: 2006 pkt/s | Total: 2777497 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:08.042  Rate: 2001 pkt/s | Total: 2787514 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:13.045  Rate: 2002 pkt/s | Total: 2797518 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:18.051  Rate: 2000 pkt/s | Total: 2807535 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:23.053  Rate: 2001 pkt/s | Total: 2817542 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:28.055  Rate: 2000 pkt/s | Total: 2827542 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:33.065  Rate: 2001 pkt/s | Total: 2837552 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:38.074  Rate: 2000 pkt/s | Total: 2847575 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:43.082  Rate: 2001 pkt/s | Total: 2857597 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:48.087  Rate: 2001 pkt/s | Total: 2867608 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:53.092  Rate: 2001 pkt/s | Total: 2877615 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:09:58.096  Rate: 2000 pkt/s | Total: 2887623 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:03.102  Rate: 2004 pkt/s | Total: 2897631 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:08.107  Rate: 2000 pkt/s | Total: 2907646 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:13.115  Rate: 1998 pkt/s | Total: 2917653 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:18.120  Rate: 2000 pkt/s | Total: 2927665 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:23.125  Rate: 2001 pkt/s | Total: 2937676 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:28.133  Rate: 2001 pkt/s | Total: 2947693 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:33.135  Rate: 2001 pkt/s | Total: 2957697 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:38.138  Rate: 2003 pkt/s | Total: 2967702 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:43.146  Rate: 2001 pkt/s | Total: 2977719 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:48.151  Rate: 2000 pkt/s | Total: 2987728 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:53.153  Rate: 1999 pkt/s | Total: 2997731 | Loss: 366 | CRC err: 0 | Sync: 99.6%
14:10:58.159  Rate: 1999 pkt/s | Total: 3007742 | Loss: 366 | CRC err: 0 | Sync: 99.6%
